rank,title,author,view,like,like_rate,coin,favorite,share,reply,danmaku,duration,url,bvid,desc
52,桃黑黑四专《Weight Loss》上线！治愈你的耳朵,取悦o-o,109531,16953,0.1548,1205,4066,2902,455,576,1047,https://www.bilibili.com/video/BV1u1YxzWEBF,BV1u1YxzWEBF,
53,匿名真心话又来啦,屈大将,61269,9285,0.1515,1114,776,254,234,901,723,https://www.bilibili.com/video/BV1x5e3zGEzQ,BV1x5e3zGEzQ,-
54,【鱼肉肉】黑帮摇这一块/三刷,鱼肉肉pabo,807890,122147,0.1512,5433,18497,1929,1145,378,46,https://www.bilibili.com/video/BV1TdePzcEat,BV1TdePzcEat,动作参考：好吃不过生巧
55,我为浙大宿舍发声,itsboiJOE,175829,26412,0.1502,582,2128,1339,450,222,84,https://www.bilibili.com/video/BV1j7eAzMEMu,BV1j7eAzMEMu,-
56,“你又能为她做什么呢”～改娃致敬港式恐怖,我可是徐鬏鬏呀,195325,29227,0.1496,3633,2322,239,372,295,212,https://www.bilibili.com/video/BV1sqY4zUExc,BV1sqY4zUExc,-
57,“众 神 归 位！”哔哩哔哩 - ( ゜- ゜)つロ 乾杯~,夜散青丝,545896,81453,0.1492,18848,24908,2655,2353,9023,172,https://www.bilibili.com/video/BV1edY4zvEbE,BV1edY4zvEbE,"bgm：on my own
片头参考：BV1PV4y1177z"
58,贵阳半日游，蹦！,烤鸭集团,18535,2743,0.148,1903,592,125,837,4404,1585,https://www.bilibili.com/video/BV19Gegz9ETY,BV19Gegz9ETY,
59,谢谢你……搭档,冰块有冰,261544,37887,0.1449,3356,9214,3507,740,178,47,https://www.bilibili.com/video/BV1qibtzYEMQ,BV1qibtzYEMQ,-
60,一次三方合作项目…,阿沛不开心,247536,35809,0.1447,870,1584,74,372,201,196,https://www.bilibili.com/video/BV1MSeFzUEtK,BV1MSeFzUEtK,-
61,非遗元素变妆，金木水火土！,朵朵花林,2139386,305583,0.1428,37270,44244,4156,2569,946,47,https://www.bilibili.com/video/BV1jMYiz8E61,BV1jMYiz8E61,五行非遗元素妆。
62,真神炸场！《黑神话：钟馗》解析，中国捉鬼大神的前世今生！,文化遗产搬运委员会,35998,5120,0.1422,2686,1750,169,577,241,457,https://www.bilibili.com/video/BV18HegzmE6f,BV18HegzmE6f,"虬髯怒目
执剑斩邪
 
咱们今天来讲
中国古代著名的捉鬼大神
钟馗
 
但是
大多数人对他的印象
好像也就只有捉鬼
 
其实他还是门神之一
古代的驱邪仪式上
也会有跳钟馗的环节
到了后来
他还成为了地府的判官
 
大家好这里是文搬委
我们今天就结合黑神话新PV
来讲讲
中国神话里的鬼怪克星-钟馗
 
钟馗是怎么诞生的？"
63,Billboard术力口周榜 2025/08/20 2025年第34周（第129期）,Elvansphere,42319,6018,0.1422,560,881,423,852,8349,625,https://www.bilibili.com/video/BV1FBeMzFET2,BV1FBeMzFET2,"本期统计时段：2025/08/11—2025/08/17
ボカコレ2025夏将在8月21日（本周四）北京时间18：00开幕。
ボカコレ2025夏除设置TOP100赛道、新人赛道、remix赛道外，新增展览会（exhibition)板块。
ボカコレ2025夏展览会板块将在8月21日（本周四）北京时间18：00开放，该板块不设置排名。
ボカコレ2025夏新人赛道将在8月22日（本周五）北京时间18：0"
64,极致的内卷，真的能卷出中国制造业的光明未来吗？,柳行长,97723,13887,0.1421,1134,2990,73,373,170,802,https://www.bilibili.com/video/BV19QYsz8E2u,BV19QYsz8E2u,"为什么GDP依旧保持5%的增速，可许多人却很难感受到它的增长？
又是什么颠覆了多劳多得这种看似天经地义的结论？
反内卷为什么要被反复提及？又要如何去做？"
65,很多人都不知道熬猪油是用水熬还是用油熬，还有人买回来直接就熬，不是发苦就是发黑，腥味还重，今天分享一个方法熬出来的猪油又香又白,欧小斌美食,120110,16969,0.1413,932,2694,165,221,130,152,https://www.bilibili.com/video/BV1nueAzCEet,BV1nueAzCEet,-
66,【红石音乐】花之舞-Flower Dance,Betacarr,2205264,311396,0.1412,103648,158804,5415,2386,3471,258,https://www.bilibili.com/video/BV1fNYizhEuG,BV1fNYizhEuG,"耻辱柱：
本视频于2025年8月2中10.08分投稿至dy平台
Bilibili用户“i梦emo版（UID:488501957）”于2025年8月8日 00:13:10 未经允许转载至Bilibili
原作者Betacarr到评论区拜访遭到拉黑处理
随后，该用户将视频投稿性质由自制改为转载,并开启精选评论
截止于该视频发布时期，已经获得4万的点击量，并没有在简介或者其余明显地方主动标明原作者信息
"
67,深夜炸物,李百万食百味,679756,95980,0.1412,3498,10750,1344,737,420,177,https://www.bilibili.com/video/BV1xLbvzcEzC,BV1xLbvzcEzC,
68,开拓之旅：米哈游宇宙的奇妙冒险,m1s3n,77284,10804,0.1398,4995,4640,533,280,466,1524,https://www.bilibili.com/video/BV1ZHeuzZEeF,BV1ZHeuzZEeF,"本期视频是由我所导演的第一项重大动画项目，与许多大佬合作两个月做出的视频。我想在此感谢所有参与制作与帮助我的朋友们，没有他们我决不可能完成这个视频。
导演: m1s3n
导演帮手: @Maindesu  &@Zannir  
VFX & Mograph: Seventh Saturday
SFX: m1s3n & AlphaOctacube

英文配音：
星: RedVelvetVA
穹/帕姆: "
69,我小时候的梦想是当个大侠！,爱画画的子衿,1318519,184120,0.1396,208759,14794,1522,2681,5622,353,https://www.bilibili.com/video/BV1gVYezEEy9,BV1gVYezEEy9,-
70,如何分辨：迷恋的4个特征 + 与爱情的区别,AlisonYu心理频道,24592,3401,0.1383,823,2088,393,158,74,956,https://www.bilibili.com/video/BV1z9eNznEPF,BV1z9eNznEPF,"我们的情感教育中，迷恋一直被误认为是爱情。许多关于感情/爱情的说法，其实都是迷恋。

比如“婚姻是爱情的坟墓”，“因为不了解而在一起，因为了解而分开”，“没有得到的才是最好的”……其实这些话讲的都不是爱情，而是迷恋。

婚姻不是爱情的坟墓，但婚姻是迷恋的坟墓。爱情是会在婚姻中继续成长，并且历久弥坚，但迷恋会在婚姻中死亡。"
71,⚡️JOJO⚡️广东の奇妙冒险（PG家长指责）,单车遛坎,513024,70448,0.1373,7701,26503,13145,1890,751,128,https://www.bilibili.com/video/BV1jAY1z9ESU,BV1jAY1z9ESU,愿快乐如风 常伴你身
72,酸到牙软的各地柠檬试吃来啦！,夏夏嗦粉记,215206,29410,0.1367,1891,2470,1304,679,358,104,https://www.bilibili.com/video/BV1ZiYCzpERW,BV1ZiYCzpERW,
73,第一次饭局，世纪大和解？#杜老板#杜金荣#李龙龙爷#短剧演员,演员秦源泽,160531,21537,0.1342,839,1670,399,535,381,116,https://www.bilibili.com/video/BV132ePzTEUQ,BV132ePzTEUQ,有什么想看我演的可以写在评论区！
74,这一次，还能晒干了沉默吗？,田一名sir,4940377,658675,0.1333,96930,60579,65677,19335,5078,23,https://www.bilibili.com/video/BV1cTYkzsEUF,BV1cTYkzsEUF,-
